id,name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1000010,Worker 10,"Guarding Duties
(04/01/2026-10/01/2026)","Kitchen
(11/01/2026-17/01/2026)",,,,,,"Test3
(22/02/2026-28/02/2026)","Test2
(01/03/2026-07/03/2026)",,,,,,,,,,,"Test2
(17/05/2026-23/05/2026)",,,,,,,,"Test3
(12/07/2026-18/07/2026)",,"Training
(26/07/2026-01/08/2026)","Training
(02/08/2026-08/08/2026)",,,,,,,"Test1
(20/09/2026-26/09/2026)",,,"Test2
(11/10/2026-17/10/2026)",,"Test1
(25/10/2026-31/10/2026)","Cleaning
(01/11/2026-07/11/2026)","Maintenance
(08/11/2026-14/11/2026)",,,,,,"Security
(20/12/2026-26/12/2026)","Test1
(27/12/2026-02/01/2027)"
1000011,Worker 11,"Test2
(04/01/2026-10/01/2026)",,,,,,,,"RASAR
(01/03/2026-07/03/2026)","Test2
(08/03/2026-14/03/2026)",,"Cleaning
(22/03/2026-28/03/2026)",,"Maintenance
(05/04/2026-11/04/2026)",,"Training
(19/04/2026-25/04/2026)","Training
(26/04/2026-02/05/2026)",,,"Test2
(17/05/2026-23/05/2026)",,,,,"Guarding Duties
(21/06/2026-27/06/2026)","Maintenance
(28/06/2026-04/07/2026)","Training
(05/07/2026-11/07/2026)",,,,,,,,,,"Maintenance
(13/09/2026-19/09/2026)",,,,,,,"Test2
(01/11/2026-07/11/2026)",,,,,"Training
(06/12/2026-12/12/2026)",,,
1000012,Worker 12,,"RASAR
(11/01/2026-17/01/2026)",,,,,"Test3
(15/02/2026-21/02/2026)",,,,"Test1
(15/03/2026-21/03/2026)",,,,"Guarding Duties
(12/04/2026-18/04/2026)",,"Test3
(26/04/2026-02/05/2026)",,"Test3
(10/05/2026-16/05/2026)",,"Maintenance
(24/05/2026-30/05/2026)",,,"Cleaning
(14/06/2026-20/06/2026)",,,,"Training
(12/07/2026-18/07/2026)",,,"Guarding Duties
(02/08/2026-08/08/2026)",,,,"Training
(30/08/2026-05/09/2026)","Maintenance
(06/09/2026-12/09/2026)",,,,"Test2
(04/10/2026-10/10/2026)",,,"RASAR
(25/10/2026-31/10/2026)",,,,,,"RASAR
(06/12/2026-12/12/2026)",,"Maintenance
(20/12/2026-26/12/2026)",
1000013,Worker 13,,"Test3
(11/01/2026-17/01/2026)",,"Kitchen
(25/01/2026-31/01/2026)","Guarding Duties
(01/02/2026-07/02/2026)",,,"Kitchen
(22/02/2026-28/02/2026)",,"RASAR
(08/03/2026-14/03/2026)",,,"Cleaning
(29/03/2026-04/04/2026)",,"RASAR
(12/04/2026-18/04/2026)",,,,"Training
(10/05/2026-16/05/2026)",,"Guarding Duties
(24/05/2026-30/05/2026)",,,"Cleaning
(14/06/2026-20/06/2026)","Training
(21/06/2026-27/06/2026)","Training
(28/06/2026-04/07/2026)","Maintenance
(05/07/2026-11/07/2026)",,"Test1
(19/07/2026-25/07/2026)","Test1
(26/07/2026-01/08/2026)",,,,"Training
(23/08/2026-29/08/2026)",,,,,,,"Maintenance
(11/10/2026-17/10/2026)",,,,"Security
(08/11/2026-14/11/2026)",,"Test1
(22/11/2026-28/11/2026)",,,"Kitchen
(13/12/2026-19/12/2026)","Training
(20/12/2026-26/12/2026)","Test2
(27/12/2026-02/01/2027)"
1000014,Worker 14,,,"RASAR
(18/01/2026-24/01/2026)",,"Test3
(01/02/2026-07/02/2026)",,"Kitchen
(15/02/2026-21/02/2026)",,,,"Training
(15/03/2026-21/03/2026)",,,,,"Test2
(19/04/2026-25/04/2026)","Guarding Duties
(26/04/2026-02/05/2026)",,,,"Test3
(24/05/2026-30/05/2026)","Maintenance
(31/05/2026-06/06/2026)","Maintenance
(07/06/2026-13/06/2026)",,,,"Security
(05/07/2026-11/07/2026)","Maintenance
(12/07/2026-18/07/2026)",,,"Maintenance
(02/08/2026-08/08/2026)",,,,,,"Security
(13/09/2026-19/09/2026)",,,,,,,,,,,,,"RASAR
(13/12/2026-19/12/2026)","Test3
(20/12/2026-26/12/2026)",
1000015,Worker 15,,,,,,,,,,"RASAR
(08/03/2026-14/03/2026)",,,,,,,"Cleaning
(26/04/2026-02/05/2026)",,,"Training
(17/05/2026-23/05/2026)","Test2
(24/05/2026-30/05/2026)",,,,,"Test1
(28/06/2026-04/07/2026)","Cleaning
(05/07/2026-11/07/2026)","Maintenance
(12/07/2026-18/07/2026)","Guarding Duties
(19/07/2026-25/07/2026)","Training
(26/07/2026-01/08/2026)",,,,,,"Guarding Duties
(06/09/2026-12/09/2026)",,,,"Guarding Duties
(04/10/2026-10/10/2026)",,,,,,"Kitchen
(15/11/2026-21/11/2026)",,"Maintenance
(29/11/2026-05/12/2026)",,,,
1000016,Worker 16,,,,,,,,,,,,,,"Test2
(05/04/2026-11/04/2026)","Test1
(12/04/2026-18/04/2026)","Training
(19/04/2026-25/04/2026)",,,,"Test2
(17/05/2026-23/05/2026)",,,,,"Guarding Duties
(21/06/2026-27/06/2026)",,"Cleaning
(05/07/2026-11/07/2026)","Maintenance
(12/07/2026-18/07/2026)","Maintenance
(19/07/2026-25/07/2026)",,"Training
(02/08/2026-08/08/2026)",,,,,,,"Guarding Duties
(20/09/2026-26/09/2026)",,,,"Training
(18/10/2026-24/10/2026)",,,,,,"Kitchen
(29/11/2026-05/12/2026)",,"Kitchen
(13/12/2026-19/12/2026)",,
1000017,Worker 17,,,"RASAR
(18/01/2026-24/01/2026)","Cleaning
(25/01/2026-31/01/2026)","Kitchen
(01/02/2026-07/02/2026)","Cleaning
(08/02/2026-14/02/2026)",,,,,"RASAR
(15/03/2026-21/03/2026)","Test2
(22/03/2026-28/03/2026)","RASAR
(29/03/2026-04/04/2026)",,,,,"Test3
(03/05/2026-09/05/2026)",,,"Security
(24/05/2026-30/05/2026)","RASAR
(31/05/2026-06/06/2026)",,"RASAR
(14/06/2026-20/06/2026)",,"Security
(28/06/2026-04/07/2026)",,"Test2
(12/07/2026-18/07/2026)",,"Test2
(26/07/2026-01/08/2026)",,,"Kitchen
(16/08/2026-22/08/2026)","Cleaning
(23/08/2026-29/08/2026)","Security
(30/08/2026-05/09/2026)",,,,,,"Kitchen
(11/10/2026-17/10/2026)","Maintenance
(18/10/2026-24/10/2026)",,"Test2
(01/11/2026-07/11/2026)","RASAR
(08/11/2026-14/11/2026)",,,,,"Test3
(13/12/2026-19/12/2026)",,
1000018,Worker 18,,,"Security
(18/01/2026-24/01/2026)",,"Test3
(01/02/2026-07/02/2026)","Maintenance
(08/02/2026-14/02/2026)",,,,,"Cleaning
(15/03/2026-21/03/2026)",,,,,"Security
(19/04/2026-25/04/2026)","RASAR
(26/04/2026-02/05/2026)",,,,,,,,,,,,"Security
(19/07/2026-25/07/2026)",,,,"Maintenance
(16/08/2026-22/08/2026)","Kitchen
(23/08/2026-29/08/2026)","Kitchen
(30/08/2026-05/09/2026)",,,,"Training
(27/09/2026-03/10/2026)",,,,,,,,,,,"Maintenance
(13/12/2026-19/12/2026)","Cleaning
(20/12/2026-26/12/2026)",
1000019,Worker 19,"Guarding Duties
(04/01/2026-10/01/2026)",,"Guarding Duties
(18/01/2026-24/01/2026)","Training
(25/01/2026-31/01/2026)",,,,,,,,,,"Maintenance
(05/04/2026-11/04/2026)",,"Training
(19/04/2026-25/04/2026)",,,,"Test3
(17/05/2026-23/05/2026)",,,,,,,,"Test2
(12/07/2026-18/07/2026)",,,,,,,"RASAR
(30/08/2026-05/09/2026)","Kitchen
(06/09/2026-12/09/2026)",,"Guarding Duties
(20/09/2026-26/09/2026)",,,,"Test1
(18/10/2026-24/10/2026)",,,"Training
(08/11/2026-14/11/2026)","Guarding Duties
(15/11/2026-21/11/2026)","Guarding Duties
(22/11/2026-28/11/2026)","Test2
(29/11/2026-05/12/2026)",,,,
1000020,Worker 20,,,"Training
(18/01/2026-24/01/2026)","Test2
(25/01/2026-31/01/2026)","Security
(01/02/2026-07/02/2026)","Training
(08/02/2026-14/02/2026)","Test2
(15/02/2026-21/02/2026)","Security
(22/02/2026-28/02/2026)",,,"Guarding Duties
(15/03/2026-21/03/2026)",,"Guarding Duties
(29/03/2026-04/04/2026)","Training
(05/04/2026-11/04/2026)",,,,,"Cleaning
(10/05/2026-16/05/2026)","Training
(17/05/2026-23/05/2026)",,"Security
(31/05/2026-06/06/2026)","Cleaning
(07/06/2026-13/06/2026)",,,,,,,,,,"Cleaning
(16/08/2026-22/08/2026)",,"Maintenance
(30/08/2026-05/09/2026)",,"Maintenance
(13/09/2026-19/09/2026)",,"Test2
(27/09/2026-03/10/2026)",,"Test2
(11/10/2026-17/10/2026)",,"Training
(25/10/2026-31/10/2026)",,,,"Kitchen
(22/11/2026-28/11/2026)",,,,,
1000021,Worker 21,,,"Kitchen
(18/01/2026-24/01/2026)",,,,"Test1
(15/02/2026-21/02/2026)","RASAR
(22/02/2026-28/02/2026)","Test1
(01/03/2026-07/03/2026)",,,,,,,,"Test1
(26/04/2026-02/05/2026)","Guarding Duties
(03/05/2026-09/05/2026)",,,,,,,"Test1
(21/06/2026-27/06/2026)","Security
(28/06/2026-04/07/2026)",,"Guarding Duties
(12/07/2026-18/07/2026)",,,"Cleaning
(02/08/2026-08/08/2026)",,,,"Test1
(30/08/2026-05/09/2026)",,,"Maintenance
(20/09/2026-26/09/2026)",,"Guarding Duties
(04/10/2026-10/10/2026)",,,"Kitchen
(25/10/2026-31/10/2026)",,"Training
(08/11/2026-14/11/2026)",,,,,"Test3
(13/12/2026-19/12/2026)",,
1000022,Worker 22,,,,"Maintenance
(25/01/2026-31/01/2026)",,,"Maintenance
(15/02/2026-21/02/2026)",,,,,,"Security
(29/03/2026-04/04/2026)",,,,,"Training
(03/05/2026-09/05/2026)",,,"Kitchen
(24/05/2026-30/05/2026)","Test1
(31/05/2026-06/06/2026)",,,,"RASAR
(28/06/2026-04/07/2026)","Test2
(05/07/2026-11/07/2026)",,,,,,,,,,,"Training
(20/09/2026-26/09/2026)","Training
(27/09/2026-03/10/2026)",,,"Kitchen
(18/10/2026-24/10/2026)",,,"Kitchen
(08/11/2026-14/11/2026)","Kitchen
(15/11/2026-21/11/2026)","Kitchen
(22/11/2026-28/11/2026)","RASAR
(29/11/2026-05/12/2026)",,,,
1000023,Worker 23,,,,,,,,,,"Cleaning
(08/03/2026-14/03/2026)",,"Training
(22/03/2026-28/03/2026)","Security
(29/03/2026-04/04/2026)",,,,,,,"Kitchen
(17/05/2026-23/05/2026)","Test1
(24/05/2026-30/05/2026)","Guarding Duties
(31/05/2026-06/06/2026)",,,"Maintenance
(21/06/2026-27/06/2026)",,,"Kitchen
(12/07/2026-18/07/2026)","RASAR
(19/07/2026-25/07/2026)",,"Guarding Duties
(02/08/2026-08/08/2026)",,,,,,,,"Test3
(27/09/2026-03/10/2026)",,,"Kitchen
(18/10/2026-24/10/2026)",,,,,"Test3
(22/11/2026-28/11/2026)","Test2
(29/11/2026-05/12/2026)",,,,
1000024,Worker 24,,,,,,"Training
(08/02/2026-14/02/2026)","Kitchen
(15/02/2026-21/02/2026)","RASAR
(22/02/2026-28/02/2026)","Test2
(01/03/2026-07/03/2026)",,"Test2
(15/03/2026-21/03/2026)",,"Kitchen
(29/03/2026-04/04/2026)",,,"Test2
(19/04/2026-25/04/2026)",,,,"Cleaning
(17/05/2026-23/05/2026)",,,,"Test1
(14/06/2026-20/06/2026)","Training
(21/06/2026-27/06/2026)",,"Cleaning
(05/07/2026-11/07/2026)","Training
(12/07/2026-18/07/2026)",,,,"Guarding Duties
(09/08/2026-15/08/2026)",,"Test1
(23/08/2026-29/08/2026)",,,,"RASAR
(20/09/2026-26/09/2026)",,,,,,,,"Training
(15/11/2026-21/11/2026)",,,,,,
1000025,Worker 25,,"Training
(11/01/2026-17/01/2026)","Kitchen
(18/01/2026-24/01/2026)",,,,,,"Guarding Duties
(01/03/2026-07/03/2026)",,,"Kitchen
(22/03/2026-28/03/2026)",,"Guarding Duties
(05/04/2026-11/04/2026)",,,,,,,,,"RASAR
(07/06/2026-13/06/2026)","Training
(14/06/2026-20/06/2026)","Test1
(21/06/2026-27/06/2026)",,,,,"Guarding Duties
(26/07/2026-01/08/2026)",,,,,,"Security
(06/09/2026-12/09/2026)",,,,,,,,,"Kitchen
(08/11/2026-14/11/2026)",,"Training
(22/11/2026-28/11/2026)","Security
(29/11/2026-05/12/2026)",,,,
1000026,Worker 26,,,,,,,,,,,,"Test3
(22/03/2026-28/03/2026)","Training
(29/03/2026-04/04/2026)",,,,,,,,"Security
(24/05/2026-30/05/2026)",,"Training
(07/06/2026-13/06/2026)",,,"Test1
(28/06/2026-04/07/2026)",,,,"Security
(26/07/2026-01/08/2026)",,"RASAR
(09/08/2026-15/08/2026)","Security
(16/08/2026-22/08/2026)",,"RASAR
(30/08/2026-05/09/2026)",,,"Maintenance
(20/09/2026-26/09/2026)",,,,,,,,"Test1
(15/11/2026-21/11/2026)","Guarding Duties
(22/11/2026-28/11/2026)",,,"Maintenance
(13/12/2026-19/12/2026)",,
1000027,Worker 27,,,,,,,,,"Guarding Duties
(01/03/2026-07/03/2026)",,,"RASAR
(22/03/2026-28/03/2026)",,,,,"Kitchen
(26/04/2026-02/05/2026)","Kitchen
(03/05/2026-09/05/2026)","Security
(10/05/2026-16/05/2026)",,,,,,"Test1
(21/06/2026-27/06/2026)","Security
(28/06/2026-04/07/2026)",,"Training
(12/07/2026-18/07/2026)",,,,,,,"Guarding Duties
(30/08/2026-05/09/2026)","RASAR
(06/09/2026-12/09/2026)",,,,,,,"Test3
(25/10/2026-31/10/2026)","Security
(01/11/2026-07/11/2026)",,,,,"Training
(06/12/2026-12/12/2026)","Test3
(13/12/2026-19/12/2026)",,"Test2
(27/12/2026-02/01/2027)"
1000028,Worker 28,,"Test2
(11/01/2026-17/01/2026)","Training
(18/01/2026-24/01/2026)","Kitchen
(25/01/2026-31/01/2026)",,,,,,"Kitchen
(08/03/2026-14/03/2026)","Training
(15/03/2026-21/03/2026)","Kitchen
(22/03/2026-28/03/2026)","Guarding Duties
(29/03/2026-04/04/2026)","Cleaning
(05/04/2026-11/04/2026)",,"Kitchen
(19/04/2026-25/04/2026)","Training
(26/04/2026-02/05/2026)","Cleaning
(03/05/2026-09/05/2026)",,,,,,,,,,,,,,"Maintenance
(09/08/2026-15/08/2026)",,,,"Security
(06/09/2026-12/09/2026)","Maintenance
(13/09/2026-19/09/2026)",,"Test2
(27/09/2026-03/10/2026)","Guarding Duties
(04/10/2026-10/10/2026)",,,,"Guarding Duties
(01/11/2026-07/11/2026)","Security
(08/11/2026-14/11/2026)",,"Training
(22/11/2026-28/11/2026)","RASAR
(29/11/2026-05/12/2026)",,"Test1
(13/12/2026-19/12/2026)",,
1000029,Worker 29,,,,,"Guarding Duties
(01/02/2026-07/02/2026)",,,,"Test1
(01/03/2026-07/03/2026)",,"Cleaning
(15/03/2026-21/03/2026)","Security
(22/03/2026-28/03/2026)","Training
(29/03/2026-04/04/2026)","Test1
(05/04/2026-11/04/2026)",,,,,,,,,,,"Security
(21/06/2026-27/06/2026)",,,,,,,"Test2
(09/08/2026-15/08/2026)",,,"RASAR
(30/08/2026-05/09/2026)",,"Cleaning
(13/09/2026-19/09/2026)","Cleaning
(20/09/2026-26/09/2026)",,,"Guarding Duties
(11/10/2026-17/10/2026)",,,,"Test1
(08/11/2026-14/11/2026)",,,"Cleaning
(29/11/2026-05/12/2026)","Test1
(06/12/2026-12/12/2026)","Training
(13/12/2026-19/12/2026)","Test3
(20/12/2026-26/12/2026)","Guarding Duties
(27/12/2026-02/01/2027)"
1000030,Worker 30,,,,,,,,,,,"Maintenance
(15/03/2026-21/03/2026)",,,,,"Maintenance
(19/04/2026-25/04/2026)","Training
(26/04/2026-02/05/2026)",,,,"Test2
(24/05/2026-30/05/2026)","Kitchen
(31/05/2026-06/06/2026)","RASAR
(07/06/2026-13/06/2026)","Test3
(14/06/2026-20/06/2026)",,,"RASAR
(05/07/2026-11/07/2026)",,,,,,,"RASAR
(23/08/2026-29/08/2026)","Training
(30/08/2026-05/09/2026)",,"Kitchen
(13/09/2026-19/09/2026)","Kitchen
(20/09/2026-26/09/2026)",,,,"RASAR
(18/10/2026-24/10/2026)",,"Security
(01/11/2026-07/11/2026)",,,,,"Maintenance
(06/12/2026-12/12/2026)","Security
(13/12/2026-19/12/2026)",,
1000031,Worker 31,,,,,,,"Guarding Duties
(15/02/2026-21/02/2026)","Security
(22/02/2026-28/02/2026)",,"RASAR
(08/03/2026-14/03/2026)","Test2
(15/03/2026-21/03/2026)",,,,,"Training
(19/04/2026-25/04/2026)",,,,,,"Test1
(31/05/2026-06/06/2026)",,"Test2
(14/06/2026-20/06/2026)",,,,,,,,,"Security
(16/08/2026-22/08/2026)","Test1
(23/08/2026-29/08/2026)",,,"Guarding Duties
(13/09/2026-19/09/2026)",,"Cleaning
(27/09/2026-03/10/2026)","Training
(04/10/2026-10/10/2026)",,,,"Kitchen
(01/11/2026-07/11/2026)",,,,,,"Cleaning
(13/12/2026-19/12/2026)",,
1000032,Worker 32,"Guarding Duties
(04/01/2026-10/01/2026)","Cleaning
(11/01/2026-17/01/2026)",,,,,"Test1
(15/02/2026-21/02/2026)","RASAR
(22/02/2026-28/02/2026)","Maintenance
(01/03/2026-07/03/2026)",,"Cleaning
(15/03/2026-21/03/2026)","Training
(22/03/2026-28/03/2026)",,,,"Training
(19/04/2026-25/04/2026)","RASAR
(26/04/2026-02/05/2026)",,,,,,"Security
(07/06/2026-13/06/2026)",,"Test2
(21/06/2026-27/06/2026)",,,,"Training
(19/07/2026-25/07/2026)",,,"Guarding Duties
(09/08/2026-15/08/2026)","Training
(16/08/2026-22/08/2026)",,"Test2
(30/08/2026-05/09/2026)","Guarding Duties
(06/09/2026-12/09/2026)",,,,"Kitchen
(04/10/2026-10/10/2026)",,"Test3
(18/10/2026-24/10/2026)",,,,,,"Guarding Duties
(29/11/2026-05/12/2026)",,,,
1000033,Worker 33,"Test2
(04/01/2026-10/01/2026)",,,,,"Training
(08/02/2026-14/02/2026)",,,,,,"Security
(22/03/2026-28/03/2026)",,,,,,"Kitchen
(03/05/2026-09/05/2026)",,"Test3
(17/05/2026-23/05/2026)","Maintenance
(24/05/2026-30/05/2026)",,"RASAR
(07/06/2026-13/06/2026)","RASAR
(14/06/2026-20/06/2026)",,,"Guarding Duties
(05/07/2026-11/07/2026)",,,"Kitchen
(26/07/2026-01/08/2026)",,,,,,,,,"Kitchen
(27/09/2026-03/10/2026)","Maintenance
(04/10/2026-10/10/2026)",,"Test2
(18/10/2026-24/10/2026)","Test3
(25/10/2026-31/10/2026)","Guarding Duties
(01/11/2026-07/11/2026)",,,,,,,,
1000034,Worker 34,,,,,,"Cleaning
(08/02/2026-14/02/2026)","Test1
(15/02/2026-21/02/2026)",,,,,,"Maintenance
(29/03/2026-04/04/2026)","Security
(05/04/2026-11/04/2026)","Kitchen
(12/04/2026-18/04/2026)",,,,,,"Test2
(24/05/2026-30/05/2026)",,"Training
(07/06/2026-13/06/2026)",,,,,,,,"Test3
(02/08/2026-08/08/2026)",,,,,,,,,"RASAR
(04/10/2026-10/10/2026)","Guarding Duties
(11/10/2026-17/10/2026)",,,,"Cleaning
(08/11/2026-14/11/2026)",,,,,,,
1000035,Worker 35,,,,"Training
(25/01/2026-31/01/2026)",,,"RASAR
(15/02/2026-21/02/2026)","Security
(22/02/2026-28/02/2026)",,"Training
(08/03/2026-14/03/2026)",,,,"Test3
(05/04/2026-11/04/2026)","Test3
(12/04/2026-18/04/2026)",,"Maintenance
(26/04/2026-02/05/2026)","Training
(03/05/2026-09/05/2026)",,,,,,,,,"Kitchen
(05/07/2026-11/07/2026)","Test2
(12/07/2026-18/07/2026)",,,,"Training
(09/08/2026-15/08/2026)",,,,,"Kitchen
(13/09/2026-19/09/2026)","Test2
(20/09/2026-26/09/2026)","Guarding Duties
(27/09/2026-03/10/2026)","Test2
(04/10/2026-10/10/2026)",,,,,"Training
(08/11/2026-14/11/2026)",,,,,,,
